STATE,POP
United States,317631125
Alabama,4834455
Alaska,714617
Arizona,6711844
Arkansas,2959597
California,38649435
Colorado,5319728
Connecticut,3589082
Delaware,931729
District of Columbia,655510
Florida,19823803
Georgia,10031414
Hawaii,1372348
Idaho,1630236
Illinois,12853463
Indiana,6593783
Iowa,3105573
Kansas,2881261
Kentucky,4394020
Louisiana,4630784
Maine,1328700
Maryland,5947280
Massachusetts,6739788
Michigan,9905670
Minnesota,5454343
Mississippi,2978985
Missouri,6045759
Montana,1019749
Nebraska,1874773
Nevada,2827183
New Hampshire,1325422
New Jersey,8928508
New Mexico,2072862
New York,19720081
North Carolina,9837634
North Dakota,732431
Ohio,11584339
Oklahoma,3857974
Oregon,3967379
Pennsylvania,12780269
Rhode Island,1051133
South Carolina,4790211
South Dakota,849611
Tennessee,6527724
Texas,26832262
Utah,2937638
Vermont,626000
Virginia,8211651
Washington,7008603
West Virginia,1849064
Wisconsin,5754380
Wyoming,581037
