STATE,AGE,POP
United States,0,40396449
United States,10,41670613
United States,20,44260108
United States,30,41098701
United States,40,41334837
United States,50,44061580
United States,60,33890892
United States,70,18995348
United States,80,4724180
United States,85+,1036186
Alabama,0,601755
Alabama,10,631585
Alabama,20,664051
Alabama,30,598567
Alabama,40,620891
Alabama,50,679497
Alabama,60,545166
Alabama,70,318097
Alabama,80,75499
Alabama,85+,15780
Alaska,0,106641
Alaska,10,98170
Alaska,20,112334
Alaska,30,95220
Alaska,40,87654
Alaska,50,103139
Alaska,60,71061
Alaska,70,27906
Alaska,80,5450
Alaska,85+,1111
Arizona,0,892597
Arizona,10,910898
Arizona,20,930951
Arizona,30,854710
Arizona,40,826240
Arizona,50,846898
Arizona,60,730438
Arizona,70,463338
Arizona,80,107855
Arizona,85+,23147
Arkansas,0,390504
Arkansas,10,393137
Arkansas,20,399517
Arkansas,30,371636
Arkansas,40,365742
Arkansas,50,397962
Arkansas,60,328313
Arkansas,70,200014
Arkansas,80,47744
Arkansas,85+,9978
California,0,5069597
California,10,5138937
California,20,5757584
California,30,5331232
California,40,5180916
California,50,5113012
California,60,3729317
California,70,2017154
California,80,509449
California,85+,113587
Colorado,0,689922
Colorado,10,695664
Colorado,20,765266
Colorado,30,747592
Colorado,40,699923
Colorado,50,729575
Colorado,60,558000
Colorado,70,274026
Colorado,80,64507
Colorado,85+,13626
Connecticut,0,399603
Connecticut,10,481436
Connecticut,20,461450
Connecticut,30,425973
Connecticut,40,492465
Connecticut,50,553581
Connecticut,60,395754
Connecticut,70,217363
Connecticut,80,58192
Connecticut,85+,13480
Delaware,0,112860
Delaware,10,117017
Delaware,20,126370
Delaware,30,111537
Delaware,40,118172
Delaware,50,133591
Delaware,60,110625
Delaware,70,64951
Delaware,80,15368
Delaware,85+,3287
District of Columbia,0,73982
District of Columbia,10,63291
District of Columbia,20,135101
District of Columbia,30,121661
District of Columbia,40,78872
District of Columbia,50,75490
District of Columbia,60,57591
District of Columbia,70,29332
District of Columbia,80,7289
District of Columbia,85+,1698
Florida,0,2210461
Florida,10,2305504
Florida,20,2578434
Florida,30,2377737
Florida,40,2557576
Florida,50,2776808
Florida,60,2383795
Florida,70,1612786
Florida,80,409367
Florida,85+,89044
Georgia,0,1367218
Georgia,10,1400478
Georgia,20,1402687
Georgia,30,1331402
Georgia,40,1393737
Georgia,50,1343255
Georgia,60,994250
Georgia,70,526969
Georgia,80,116301
Georgia,85+,23923
Hawaii,0,177763
Hawaii,10,161293
Hawaii,20,189671
Hawaii,30,176598
Hawaii,40,167549
Hawaii,50,184262
Hawaii,60,161664
Hawaii,70,87675
Hawaii,80,23444
Hawaii,85+,5538
Idaho,0,237585
Idaho,10,237134
Idaho,20,217287
Idaho,30,208990
Idaho,40,191784
Idaho,50,208668
Idaho,60,175424
Idaho,70,98667
Idaho,80,22630
Idaho,85+,4718
Illinois,0,1619011
Illinois,10,1709020
Illinois,20,1779287
Illinois,30,1722579
Illinois,40,1696571
Illinois,50,1798410
Illinois,60,1321783
Illinois,70,725481
Illinois,80,183885
Illinois,85+,41384
Indiana,0,860046
Indiana,10,905515
Indiana,20,906645
Indiana,30,826666
Indiana,40,842698
Indiana,50,921528
Indiana,60,700460
Indiana,70,386422
Indiana,80,96218
Indiana,85+,21162
Iowa,0,400589
Iowa,10,415808
Iowa,20,420886
Iowa,30,383096
Iowa,40,368612
Iowa,50,433842
Iowa,60,341093
Iowa,70,196479
Iowa,80,54167
Iowa,85+,12299
Kansas,0,403862
Kansas,10,399834
Kansas,20,399746
Kansas,30,364552
Kansas,40,337402
Kansas,50,392451
Kansas,60,299296
Kansas,70,165012
Kansas,80,45039
Kansas,85+,10240
Kentucky,0,558213
Kentucky,10,567392
Kentucky,20,587111
Kentucky,30,554246
Kentucky,40,575432
Kentucky,50,626667
Kentucky,60,494735
Kentucky,70,275490
Kentucky,80,64972
Kentucky,85+,13867
Louisiana,0,622504
Louisiana,10,607349
Louisiana,20,679790
Louisiana,30,610580
Louisiana,40,566784
Louisiana,50,639710
Louisiana,60,487594
Louisiana,70,264479
Louisiana,80,64108
Louisiana,85+,13460
Maine,0,135960
Maine,10,156789
Maine,20,156195
Maine,30,146931
Maine,40,174921
Maine,50,216198
Maine,60,180555
Maine,70,98856
Maine,80,25194
Maine,85+,5380
Maryland,0,744732
Maryland,10,763139
Maryland,20,812777
Maryland,30,774901
Maryland,40,809909
Maryland,50,872919
Maryland,60,627407
Maryland,70,331734
Maryland,80,81126
Maryland,85+,17628
Massachusetts,0,742377
Massachusetts,10,855311
Massachusetts,20,971866
Massachusetts,30,850529
Massachusetts,40,906984
Massachusetts,50,990936
Massachusetts,60,736485
Massachusetts,70,397463
Massachusetts,80,106496
Massachusetts,85+,24147
Michigan,0,1175709
Michigan,10,1320969
Michigan,20,1338193
Michigan,30,1156725
Michigan,40,1281155
Michigan,50,1469219
Michigan,60,1138719
Michigan,70,624245
Michigan,80,154875
Michigan,85+,35040
Minnesota,0,710145
Minnesota,10,714837
Minnesota,20,729433
Minnesota,30,716970
Minnesota,40,685975
Minnesota,50,789687
Minnesota,60,577601
Minnesota,70,313188
Minnesota,80,81730
Minnesota,85+,18115
Mississippi,0,403649
Mississippi,10,410886
Mississippi,20,415167
Mississippi,30,373633
Mississippi,40,369714
Mississippi,50,403913
Mississippi,60,317645
Mississippi,70,182789
Mississippi,80,42936
Mississippi,85+,9018
Missouri,0,764073
Missouri,10,785299
Missouri,20,827966
Missouri,30,758454
Missouri,40,746416
Missouri,50,865573
Missouri,60,665887
Missouri,70,387641
Missouri,80,98521
Missouri,85+,20924
Montana,0,125154
Montana,10,125948
Montana,20,136114
Montana,30,123258
Montana,40,115375
Montana,50,149908
Montana,60,130825
Montana,70,70778
Montana,80,16677
Montana,85+,3727
Nebraska,0,263142
Nebraska,10,256619
Nebraska,20,258826
Nebraska,30,241642
Nebraska,40,220256
Nebraska,50,253582
Nebraska,60,194245
Nebraska,70,107735
Nebraska,80,30181
Nebraska,85+,6693
Nevada,0,366044
Nevada,10,362571
Nevada,20,388209
Nevada,30,385546
Nevada,40,383702
Nevada,50,375487
Nevada,60,309245
Nevada,70,174931
Nevada,80,36293
Nevada,85+,7391
New Hampshire,0,136597
New Hampshire,10,168775
New Hampshire,20,167491
New Hampshire,30,148378
New Hampshire,40,183279
New Hampshire,50,219895
New Hampshire,60,163667
New Hampshire,70,83987
New Hampshire,80,20941
New Hampshire,85+,4537
New Jersey,0,1083368
New Jersey,10,1150332
New Jersey,20,1139696
New Jersey,30,1143727
New Jersey,40,1254219
New Jersey,50,1326378
New Jersey,60,939420
New Jersey,70,525682
New Jersey,80,139166
New Jersey,85+,31560
New Mexico,0,279490
New Mexico,10,277692
New Mexico,20,287227
New Mexico,30,256768
New Mexico,40,241602
New Mexico,50,282482
New Mexico,60,237635
New Mexico,70,134009
New Mexico,80,31657
New Mexico,85+,6927
New York,0,2324754
New York,10,2435368
New York,20,2902308
New York,30,2607290
New York,40,2614334
New York,50,2790885
New York,60,2079950
New York,70,1162552
New York,80,304018
New York,85+,69440
North Carolina,0,1252371
North Carolina,10,1298379
North Carolina,20,1308343
North Carolina,30,1237564
North Carolina,40,1336796
North Carolina,50,1356619
North Carolina,60,1089669
North Carolina,70,613891
North Carolina,80,143800
North Carolina,85+,29820
North Dakota,0,99409
North Dakota,10,91899
North Dakota,20,122789
North Dakota,30,92703
North Dakota,40,79239
North Dakota,50,98934
North Dakota,60,74042
North Dakota,70,40661
North Dakota,80,12071
North Dakota,85+,2725
Ohio,0,1418710
