NAME,AGE,POPEST2014_CIV
United States,0,3948350
United States,1,3962123
United States,2,3957772
United States,3,4005190
United States,4,4003448
United States,5,4004858
United States,6,4134352
United States,7,4154000
United States,8,4119524
United States,9,4106832
United States,10,4115254
United States,11,4085636
United States,12,4068790
United States,13,4169346
United States,14,4232480
United States,15,4163723
United States,16,4167234
United States,17,4184077
United States,18,4209973
United States,19,4274100
United States,20,4353919
United States,21,4418106
United States,22,4537358
United States,23,4625145
United States,24,4622549
United States,25,4445674
United States,26,4345824
United States,27,4276071
United States,28,4298220
United States,29,4337242
United States,30,4204555
United States,31,4274545
United States,32,4279181
United States,33,4238291
United States,34,4327332
United States,35,4060723
United States,36,3983377
United States,37,3944638
United States,38,3831675
United States,39,3954384
United States,40,3834416
United States,41,3896141
United States,42,4076296
United States,43,4313988
United States,44,4373174
United States,45,4148659
United States,46,4065488
United States,47,4072981
United States,48,4151130
United States,49,4402564
United States,50,4486171
United States,51,4484514
United States,52,4477147
United States,53,4533392
United States,54,4572917
United States,55,4420322
United States,56,4394523
United States,57,4346438
United States,58,4191151
United States,59,4155005
United States,60,3985150
United States,61,3834276
United States,62,3685772
United States,63,3572353
United States,64,3488075
United States,65,3384449
United States,66,3347776
United States,67,3485502
United States,68,2572527
United States,69,2535012
United States,70,2466485
United States,71,2519748
United States,72,2194234
United States,73,2002191
United States,74,1890366
United States,75,1774697
United States,76,1694648
United States,77,1557239
United States,78,1481505
United States,79,1414235
United States,80,1264072
United States,81,1216009
United States,82,1153634
United States,83,1090465
United States,84,1036186
United States,85,6162231
United States,999,317631125
United States,0,2017857
United States,1,2023253
United States,2,2022502
United States,3,2048618
United States,4,2043498
United States,5,2043467
United States,6,2110328
United States,7,2122240
United States,8,2105122
United States,9,2097272
United States,10,2099874
United States,11,2083687
United States,12,2075243
United States,13,2128187
United States,14,2164228
United States,15,2128424
United States,16,2130938
United States,17,2138356
United States,18,2152330
United States,19,2176832
United States,20,2214800
United States,21,2250405
United States,22,2304963
United States,23,2338690
United States,24,2333175
United States,25,2242665
United States,26,2189492
United States,27,2152996
United States,28,2162102
United States,29,2175700
United States,30,2101329
United States,31,2132843
United States,32,2131589
United States,33,2108839
United States,34,2162330
United States,35,2019067
United States,36,1978529
United States,37,1953898
United States,38,1898939
United States,39,1964072
United States,40,1896789
United States,41,1921390
United States,42,2014219
United States,43,2131605
United States,44,2170755
United States,45,2056188
United States,46,2013434
United States,47,2011428
United States,48,2051541
United States,49,2174328
United States,50,2207130
United States,51,2201906
United States,52,2195581
United States,53,2217669
United States,54,2241310
United States,55,2157203
United States,56,2139953
United States,57,2109557
United States,58,2027481
United States,59,2006583
United States,60,1913854
United States,61,1836958
United States,62,1763466
United States,63,1701803
United States,64,1661418
United States,65,1607688
United States,66,1589127
United States,67,1653257
United States,68,1211480
United States,69,1187554
United States,70,1149247
United States,71,1169356
United States,72,1010896
United States,73,913008
United States,74,857432
United States,75,803434
United States,76,758378
United States,77,689822
United States,78,649209
United States,79,610723
United States,80,540032
United States,81,511090
United States,82,476976
United States,83,442449
United States,84,411265
United States,85,2108869
United States,999,155903520
United States,0,1930493
United States,1,1938870
United States,2,1935270
United States,3,1956572
United States,4,1959950
United States,5,1961391
United States,6,2024024
United States,7,2031760
United States,8,2014402
United States,9,2009560
United States,10,2015380
United States,11,2001949
United States,12,1993547
United States,13,2041159
United States,14,2068252
United States,15,2035299
United States,16,2036296
United States,17,2045721
United States,18,2057643
United States,19,2097268
United States,20,2139119
United States,21,2167701
United States,22,2232395
United States,23,2286455
United States,24,2289374
United States,25,2203009
United States,26,2156332
United States,27,2123075
United States,28,2136118
United States,29,2161542
United States,30,2103226
United States,31,2141702
United States,32,2147592
United States,33,2129452
United States,34,2165002
United States,35,2041656
United States,36,2004848
United States,37,1990740
United States,38,1932736
United States,39,1990312
United States,40,1937627
United States,41,1974751
United States,42,2062077
United States,43,2182383
United States,44,2202419
United States,45,2092471
United States,46,2052054
United States,47,2061553
United States,48,2099589
United States,49,2228236
United States,50,2279041
United States,51,2282608
United States,52,2281566
United States,53,2315723
United States,54,2331607
United States,55,2263119
United States,56,2254570
United States,57,2236881
United States,58,2163670
United States,59,2148422
United States,60,2071296
United States,61,1997318
United States,62,1922306
United States,63,1870550
United States,64,1826657
United States,65,1776761
United States,66,1758649
United States,67,1832245
United States,68,1361047
United States,69,1347458
United States,70,1317238
United States,71,1350392
United States,72,1183338
United States,73,1089183
United States,74,1032934
United States,75,971263
United States,76,936270
United States,77,867417
United States,78,832296
United States,79,803512
United States,80,724040
United States,81,704919
United States,82,676658
United States,83,648016
United States,84,624921
United States,85,4053362
United States,999,161727605
Alabama,0,57854
Alabama,1,58028
Alabama,2,58953
Alabama,3,59449
Alabama,4,60421
Alabama,5,60219
Alabama,6,62116
Alabama,7,62265
Alabama,8,61528
Alabama,9,60922
Alabama,10,61414
Alabama,11,60933
Alabama,12,61672
Alabama,13,64515
Alabama,14,65920
Alabama,15,64079
Alabama,16,64179
Alabama,17,63098
Alabama,18,61614
Alabama,19,64161
Alabama,20,66698
Alabama,21,67785
Alabama,22,70476
Alabama,23,73222
Alabama,24,72144
Alabama,25,66622
Alabama,26,63371
Alabama,27,61062
Alabama,28,60959
Alabama,29,61712
Alabama,30,59781
Alabama,31,61262
Alabama,32,61136
Alabama,33,61704
Alabama,34,63213
Alabama,35,59431
Alabama,36,58927
Alabama,37,58246
Alabama,38,56406
Alabama,39,58461
Alabama,40,57706
Alabama,41,59310
Alabama,42,62236
Alabama,43,65918
Alabama,44,64930
Alabama,45,61256
Alabama,46,59894
Alabama,47,60249
Alabama,48,62444
Alabama,49,66948
Alabama,50,68091
Alabama,51,68031
Alabama,52,68616
Alabama,53,69675
Alabama,54,69909
Alabama,55,67878
Alabama,56,67801
Alabama,57,68333
Alabama,58,65940
Alabama,59,65223
Alabama,60,63001
Alabama,61,60199
Alabama,62,58270
Alabama,63,56669
Alabama,64,56038
Alabama,65,55261
Alabama,66,54898
Alabama,67,57098
Alabama,68,41922
Alabama,69,41810
Alabama,70,41038
Alabama,71,41973
Alabama,72,36239
Alabama,73,33277
Alabama,74,31912
Alabama,75,30104
Alabama,76,28866
Alabama,77,26169
Alabama,78,24935
Alabama,79,23584
Alabama,80,20782
Alabama,81,19703
Alabama,82,18311
Alabama,83,16703
Alabama,84,15780
Alabama,85,83567
Alabama,999,4834455
Alabama,0,29508
Alabama,1,29451
Alabama,2,29879
Alabama,3,30513
Alabama,4,30764
Alabama,5,30709
Alabama,6,31585
Alabama,7,31826
Alabama,8,31407
Alabama,9,31022
Alabama,10,31293
Alabama,11,30989
Alabama,12,31424
Alabama,13,32920
Alabama,14,33639
Alabama,15,32518
Alabama,16,32675
Alabama,17,32239
Alabama,18,31138
Alabama,19,32222
Alabama,20,33379
Alabama,21,33990
Alabama,22,35460
Alabama,23,36141
Alabama,24,35841
Alabama,25,32831
Alabama,26,31296
Alabama,27,29869
Alabama,28,29702
Alabama,29,30110
Alabama,30,28835
Alabama,31,30071
Alabama,32,29730
Alabama,33,30174
Alabama,34,30900
Alabama,35,28794
Alabama,36,28455
Alabama,37,28157
Alabama,38,27268
Alabama,39,28359
Alabama,40,28080
Alabama,41,28480
Alabama,42,30125
Alabama,43,32051
Alabama,44,31783
Alabama,45,29918
Alabama,46,29147
Alabama,47,29269
Alabama,48,30334
Alabama,49,32487
Alabama,50,33183
Alabama,51,32811
Alabama,52,33286
Alabama,53,33614
Alabama,54,33902
Alabama,55,32686
Alabama,56,32461
Alabama,57,32847
Alabama,58,31636
Alabama,59,31164
Alabama,60,29788
Alabama,61,28491
Alabama,62,27601
Alabama,63,26774
Alabama,64,26424
Alabama,65,25946
Alabama,66,25827
Alabama,67,26860
Alabama,68,19445
Alabama,69,19302
Alabama,70,18821
Alabama,71,19132
Alabama,72,16456
Alabama,73,15118
Alabama,74,14251
Alabama,75,13271
Alabama,76,12506
Alabama,77,11255
