STATE,AGE,POP
United States,0-9,40396449
United States,10-19,41670613
United States,20-29,44260108
United States,30-39,41098701
United States,40-49,41334837
United States,50-59,44061580
United States,60-69,33890892
United States,70-79,18995348
United States,80-84,4724180
United States,85+,1036186
Alabama,0-9,601755
Alabama,10-19,631585
Alabama,20-29,664051
Alabama,30-39,598567
Alabama,40-49,620891
Alabama,50-59,679497
Alabama,60-69,545166
Alabama,70-79,318097
Alabama,80-84,75499
Alabama,85+,15780
Alaska,0-9,106641
Alaska,10-19,98170
Alaska,20-29,112334
Alaska,30-39,95220
Alaska,40-49,87654
Alaska,50-59,103139
Alaska,60-69,71061
Alaska,70-79,27906
Alaska,80-84,5450
Alaska,85+,1111
Arizona,0-9,892597
Arizona,10-19,910898
Arizona,20-29,930951
Arizona,30-39,854710
Arizona,40-49,826240
Arizona,50-59,846898
Arizona,60-69,730438
Arizona,70-79,463338
Arizona,80-84,107855
Arizona,85+,23147
Arkansas,0-9,390504
Arkansas,10-19,393137
Arkansas,20-29,399517
Arkansas,30-39,371636
Arkansas,40-49,365742
Arkansas,50-59,397962
Arkansas,60-69,328313
Arkansas,70-79,200014
Arkansas,80-84,47744
Arkansas,85+,9978
California,0-9,5069597
California,10-19,5138937
California,20-29,5757584
California,30-39,5331232
California,40-49,5180916
California,50-59,5113012
California,60-69,3729317
California,70-79,2017154
California,80-84,509449
California,85+,113587
Colorado,0-9,689922
Colorado,10-19,695664
Colorado,20-29,765266
Colorado,30-39,747592
Colorado,40-49,699923
Colorado,50-59,729575
Colorado,60-69,558000
Colorado,70-79,274026
Colorado,80-84,64507
Colorado,85+,13626
Connecticut,0-9,399603
Connecticut,10-19,481436
Connecticut,20-29,461450
Connecticut,30-39,425973
Connecticut,40-49,492465
Connecticut,50-59,553581
Connecticut,60-69,395754
Connecticut,70-79,217363
Connecticut,80-84,58192
Connecticut,85+,13480
Delaware,0-9,112860
Delaware,10-19,117017
Delaware,20-29,126370
Delaware,30-39,111537
Delaware,40-49,118172
Delaware,50-59,133591
Delaware,60-69,110625
Delaware,70-79,64951
Delaware,80-84,15368
Delaware,85+,3287
District of Columbia,0-9,73982
District of Columbia,10-19,63291
District of Columbia,20-29,135101
District of Columbia,30-39,121661
District of Columbia,40-49,78872
District of Columbia,50-59,75490
District of Columbia,60-69,57591
District of Columbia,70-79,29332
District of Columbia,80-84,7289
